COUNTY_NAME,MUNICIPALITY,MUNICIPALITY_NAME,VOTINGDISTRICT,VOTINGDISTRIC_NAME,VALID_VOTES,VOTES,ELIGIBLE_VOTERS,ELECTION_PARTICIPATION,M,C,L,KD,S,V,MP,SD,FI,AfS,BLANK
Stockholms län,0114,Upplands Väsby,01140101,Övra Runby,1097,1110,1355,81.92,18.32,8.2,7.47,5.38,26.07,10.3,5.56,16.96,0.36,0.46,0.99
Stockholms län,0114,Upplands Väsby,01140102,Mälaren,905,914,1073,85.18,22.21,6.63,7.73,7.29,26.19,6.74,4.97,16.91,0.22,0.66,0.98
Stockholms län,0114,Upplands Väsby,01140120,Edssjön,674,678,830,81.69,23.44,5.64,5.79,7.72,28.78,8.46,5.34,13.95,0.15,,0.44
Stockholms län,0114,Upplands Väsby,01140121,Nedra Runby,920,929,1104,84.15,19.13,6.52,5.76,5.76,28.26,8.7,6.09,17.61,0.98,0.54,0.86
Stockholms län,0114,Upplands Väsby,01140126,Prästgårdsmarken,694,702,890,78.88,12.97,6.48,3.03,3.75,31.27,11.1,6.05,23.05,1.01,0.72,1
Stockholms län,0114,Upplands Väsby,01140203,Folkparken,926,929,1102,84.3,21.49,6.05,5.62,7.13,26.46,8.21,4.75,19.11,0.32,0.32,0.22
Stockholms län,0114,Upplands Väsby,01140204,Fysingen,764,765,971,78.78,25.26,3.27,6.41,7.72,23.3,4.32,3.14,25.13,0.13,0.26,0.13
Stockholms län,0114,Upplands Väsby,01140205,Vilunda,912,920,1128,81.56,18.2,5.81,4.61,6.25,31.47,9.21,4.61,17.32,0.77,0.66,0.76
Stockholms län,0114,Upplands Väsby,01140206,Sigma,697,699,1001,69.83,12.77,3.16,4.59,6.31,35.87,12.05,3.59,19.66,0.57,0.14,0.29
Stockholms län,0114,Upplands Väsby,01140207,Odenslunda Södra,1048,1056,1191,88.66,30.44,6.39,7.92,8.02,21.85,5.73,3.53,15.65,0.38,,0.76
Stockholms län,0114,Upplands Väsby,01140208,Fyrklövern,860,866,1249,69.34,14.42,2.79,1.98,4.07,43.95,13.6,2.21,15.7,0.58,0.35,0.35
Stockholms län,0114,Upplands Väsby,01140209,Smedby Norra,584,591,891,66.33,10.79,3.77,2.23,4.28,34.59,15.75,3.25,23.46,0.17,0.86,0.85
Stockholms län,0114,Upplands Väsby,01140210,Väsbyskogen Västra,1142,1149,1337,85.94,22.77,5.34,6.13,6.74,29.51,8.23,3.68,16.29,0.35,0.09,0.52
Stockholms län,0114,Upplands Väsby,01140211,Skälby,1005,1021,1311,77.88,21.29,6.67,4.48,7.86,27.16,7.86,2.89,20.4,0.3,0.4,1.27
Stockholms län,0114,Upplands Väsby,01140212,Smedby Södra,882,895,1158,77.29,14.74,3.85,2.72,4.76,31.18,11.22,4.42,25.62,0.34,0.34,1.23
Stockholms län,0114,Upplands Väsby,01140218,Korpkulla,927,941,1173,80.22,21.9,5.39,4.64,6.47,29.56,9.39,3.67,17.15,0.65,0.43,1.49
Stockholms län,0114,Upplands Väsby,01140219,Ekebo,756,764,1028,74.32,13.76,3.7,4.1,6.22,36.9,11.51,2.91,19.71,0.53,,1.05
Stockholms län,0114,Upplands Väsby,01140223,Brunnby,1010,1015,1257,80.75,29.11,7.33,5.35,6.83,20.5,7.23,3.76,19.21,0.2,0.2,0.39
Stockholms län,0114,Upplands Väsby,01140224,Apoteksskogen,750,760,1033,73.57,16.67,5.87,4.93,5.87,32.93,13.33,4.67,14.4,0.67,0.13,1.32
Stockholms län,0114,Upplands Väsby,01140225,Väsbyskogen Östra,643,648,1029,62.97,10.11,1.71,1.4,2.95,38.1,15.71,4.51,23.64,0.31,0.62,0.62
Stockholms län,0114,Upplands Väsby,01140313,Odenslunda Norra,949,954,1123,84.95,25.82,8.11,7.48,7.59,23.81,5.48,2.63,18.34,0.11,0.11,0.42
Stockholms län,0114,Upplands Väsby,01140314,Norra Bollstanäs,1222,1226,1347,91.02,36.5,10.56,9.9,8.67,14.57,2.21,3.27,13.83,,0.33,0.33
Stockholms län,0114,Upplands Väsby,01140315,Sjukyrkoberget,994,1005,1134,88.62,29.98,7.44,7.24,7.44,27.16,3.62,3.22,13.48,0.2,,1
Stockholms län,0114,Upplands Väsby,01140316,Grimstaby,1485,1494,1703,87.73,29.09,6.26,7.41,7.88,23.84,4.65,3.91,16.16,0.13,0.27,0.6
Stockholms län,0114,Upplands Väsby,01140317,Gamla Bollstanäs,984,986,1159,85.07,31.5,9.35,5.08,9.15,16.77,4.17,2.85,19.72,0.41,0.2,0.2
Stockholms län,0114,Upplands Väsby,01140318,Frestaby,931,937,1031,90.88,30.5,7.52,5.69,6.77,21.91,3.97,2.9,19.33,0.21,0.43,0.53
Stockholms län,0114,Upplands Väsby,01140327,Östra Frestaby-Ekeby,999,1002,1132,88.52,33.23,8.51,6.81,9.21,16.72,3.8,2.8,18.12,0.2,0.2,0.3
Stockholms län,0115,Vallentuna,01150101,1 Vallentuna västra,750,757,868,87.21,33.47,9.73,6.67,10.13,13.07,3.73,2.8,18.8,0.13,0.4,0.79
Stockholms län,0115,Vallentuna,01150102,2 Markim-Orkesta-Frösunda,1569,1584,1843,85.95,24.16,16.25,7.01,7.39,16.57,2.8,6.12,18.29,0.19,0.38,0.76
Stockholms län,0115,Vallentuna,01150103,3 Hammarbacken N,1255,1261,1425,88.49,34.18,10.76,9.8,8.69,16.81,2.23,3.51,13.15,0.08,0.16,0.4
Stockholms län,0115,Vallentuna,01150104,4 Hammarbacken S,1181,1189,1456,81.66,25.91,8.21,5.93,6.52,23.2,5,5.67,17.78,0.25,0.59,0.67
Stockholms län,0115,Vallentuna,01150105,5 Ormsta N,1082,1086,1273,85.31,29.21,8.23,8.23,9.06,20.52,3.6,4.44,15.53,0.28,0.18,0.18
Stockholms län,0115,Vallentuna,01150106,6 Vallentuna nordöstra,1485,1491,1735,85.94,30.64,10.37,7.54,7.47,16.97,4.58,4.38,16.63,0.34,0.47,0.4
Stockholms län,0115,Vallentuna,01150107,7 Norrgården-Sörgården,806,812,1025,79.22,21.09,5.33,6.08,6.2,29.03,6.95,2.61,21.22,0.5,0.5,0.49
Stockholms län,0115,Vallentuna,01150108,8 Vallentuna C,1362,1380,1706,80.89,21.73,7.93,5.87,6.9,28.41,8.37,4.92,14.32,0.22,0.51,1.3
Stockholms län,0115,Vallentuna,01150109,9 Ormsta S,795,805,1014,79.39,22.26,8.81,6.54,6.54,26.04,6.79,5.66,15.09,0.63,0.25,0.87
Stockholms län,0115,Vallentuna,01150110,10 Lovisedal,1226,1230,1417,86.8,31.24,9.87,6.69,10.52,17.54,2.77,4.89,14.93,0.24,0.57,0.24
Stockholms län,0115,Vallentuna,01150111,11 Karlberg,1631,1636,1894,86.38,32.43,9.75,10.48,7.73,15.33,3.68,4.78,14.35,0.31,0.31,0.31
Stockholms län,0115,Vallentuna,01150112,12 Vada-Angarn-Össeby,1221,1229,1459,84.24,27.68,9.66,6.22,8.19,17.36,4.34,6.47,18.84,,0.41,0.41
Stockholms län,0115,Vallentuna,01150113,13 Bällsta S,1456,1462,1639,89.2,34.07,10.99,11.88,7.49,15.8,3.09,4.46,11.47,0.14,0.14,0.34
Stockholms län,0115,Vallentuna,01150114,14 Bällsta V,778,783,929,84.28,30.85,11.05,8.35,6.3,19.15,4.24,5.27,14.01,0.26,,0.26
Stockholms län,0115,Vallentuna,01150115,15 Vallentuna sydöstra,1427,1438,1635,87.95,31.39,9.53,8.55,7.22,19.76,3.64,4.84,14.37,0.21,,0.76
Stockholms län,0115,Vallentuna,01150116,16 Garn,898,904,1082,83.55,21.16,12.14,6.01,5.68,15.92,5.46,5.12,26.61,0.45,0.89,0.44
Stockholms län,0115,Vallentuna,01150117,17 Kårsta,840,848,1038,81.7,23.45,9.88,5.12,5.95,16.79,7.14,5,24.76,0.48,0.6,0.94
Stockholms län,0117,Österåker,01170201,Berga 1,882,888,1081,82.15,20.86,6.8,6.58,4.65,28.12,7.37,4.54,19.27,0.34,0.45,0.68
Stockholms län,0117,Österåker,01170202,Hacksta 1,1034,1052,1562,67.35,18.86,6.77,6.19,4.74,31.82,9.57,4.26,16.15,0.39,0.48,1.43
Stockholms län,0117,Österåker,01170203,Margretelund 3,1391,1399,1561,89.62,36.74,9.92,6.83,7.26,16.1,3.67,4.1,14.23,0.58,0.07,0.5
Stockholms län,0117,Österåker,01170204,Hacksta 2,1107,1118,1378,81.13,26.11,7.41,5.87,5.51,26.83,6.5,3.34,17.34,0.36,0.45,0.98
Stockholms län,0117,Österåker,01170205,Österskär 1,1743,1758,1913,91.9,31.73,10.5,10.27,7.11,18.47,4.48,5.16,11.36,0.29,0.17,0.8
Stockholms län,0117,Österåker,01170206,Österskär 2,1758,1762,1894,93.03,40.67,10.92,11.21,8.48,10.3,2.16,5.35,9.9,0.06,0.46,0.23
Stockholms län,0117,Österåker,01170207,Margretelund 1,1662,1670,1821,91.71,35.38,11.79,7.16,8.84,13.84,2.77,3.91,15.34,,0.36,0.48
Stockholms län,0117,Österåker,01170208,Margretelund 2,1407,1416,1590,89.06,26.15,6.82,7.46,7.04,24.38,5.33,6.33,15.85,0.21,,0.49
Stockholms län,0117,Österåker,01170209,Smedby,1316,1329,1508,88.13,29.94,8.66,8.97,8.28,19.45,3.95,4.03,16.19,0.23,0.23,0.9
Stockholms län,0117,Österåker,01170210,Skånsta,977,1002,1150,87.13,27.53,9.11,7.78,7.57,23.23,5.53,3.79,15.35,0.1,,
Stockholms län,0117,Österåker,01170211,Åkerstorp,1168,1176,1324,88.82,24.4,11.73,7.02,8.39,22.95,5.22,3.77,15.41,0.26,0.26,0.68
Stockholms län,0117,Österåker,01170212,Roslagskulla-Åsätra,1342,1359,1575,86.29,26.15,8.49,5.74,6.26,19.6,5.89,4.17,22.35,0.75,0.22,0.96
Stockholms län,0117,Österåker,01170214,Rydbo,1144,1149,1307,87.91,32.34,11.8,8.74,9,12.41,3.93,5.42,15.21,0.26,0.35,0.26
Stockholms län,0117,Österåker,01170215,Berga 2,1030,1042,1280,81.41,24.56,6.7,8.16,5.92,23.69,9.22,5.34,14.17,0.49,0.19,1.15
Stockholms län,0117,Österåker,01170216,Söra 1,1237,1242,1417,87.65,31.04,7.28,8,5.66,21.5,4.77,3.8,16.65,0.49,0.16,0.4
Stockholms län,0117,Österåker,01170217,Svinninge,1086,1094,1229,89.02,32.78,11.6,7.64,7.92,14.55,3.68,4.88,15.65,0.37,0.28,0.55
Stockholms län,0117,Österåker,01170219,Skärgårdsstad,1620,1628,1827,89.11,36.42,9.26,7.59,7.41,13.02,2.41,2.53,20.37,0.19,0.49,0.49
Stockholms län,0117,Österåker,01170220,Söra 2,1316,1327,1532,86.62,24.32,8.05,5.62,6.76,28.65,5.55,5.85,13.98,0.15,0.15,0.68
Stockholms län,0117,Österåker,01170221,Säby,1242,1246,1395,89.32,30.6,11.19,8.62,7.41,16.91,4.83,5.15,13.93,0.16,0.56,0.32
Stockholms län,0117,Österåker,01170222,Runö,1116,1135,1399,81.13,26.16,7.17,5.02,5.56,23.92,6.63,4.3,19.71,0.63,0.18,1.67
Stockholms län,0117,Österåker,01170313,Ljusterö,1322,1331,1566,84.99,26.48,9.76,3.86,8.62,19.52,4.54,2.95,23.45,0.08,0.08,0.6
Stockholms län,0120,Värmdö,01200101,Värmdö 1 Saltarö,1031,1037,1196,86.71,25.02,8.83,6.6,5.72,19.3,5.04,3.49,24.83,0.39,0.1,0.58
Stockholms län,0120,Värmdö,01200102,Värmdö 2 Strömma m.fl.,837,841,1020,82.45,36.2,9.68,6.57,8,11.83,4.9,3.11,18.76,0.24,0.12,0.48
Stockholms län,0120,Värmdö,01200103,Värmdö 3 Ängsvik,1441,1456,1668,87.29,29.35,9.99,4.93,5.76,15.48,7.15,5.62,20.4,0.42,0.21,0.82
Stockholms län,0120,Värmdö,01200104,Värmdö 4 Hemmesta,757,769,928,82.87,22.46,5.42,3.57,6.34,31.18,6.21,2.77,20.74,0.4,0.13,1.04
Stockholms län,0120,Värmdö,01200105,Värmdö 5 Vik,1166,1170,1233,94.89,36.96,14.49,7.12,7.2,14.24,2.32,6.09,10.38,,0.34,0.26
Stockholms län,0120,Värmdö,01200106,Värmdö 6 Kopparmora,1431,1443,1618,89.18,26.62,7.2,5.24,6.71,20.82,3.98,3.28,25.3,0.28,0.28,0.83
Stockholms län,0120,Värmdö,01200107,Värmdö 7 Haghulta Kolvik,1011,1015,1110,91.44,31.65,13.55,9.4,5.93,16.72,4.15,6.43,11.67,0.2,0.1,0.39
Stockholms län,0120,Värmdö,01200108,Värmdö 8 Herrviksnäs m.fl.,1153,1162,1306,88.97,35.47,11.1,6.5,5.64,12.92,4.25,3.64,19.34,0.35,0.17,0.6
Stockholms län,0120,Värmdö,01200301,Djurö 1 Vindö,674,685,929,73.74,27.6,8.9,5.49,3.41,17.66,5.19,2.82,27.6,0.15,0.74,1.61
Stockholms län,0120,Värmdö,01200302,Djurö 2 Djurö,769,780,939,83.07,27.18,6.11,7.28,8.06,19.38,5.07,3.25,22.63,,0.65,0.77
Stockholms län,0120,Värmdö,01200303,Djurö 3 Stavsnäs,1207,1224,1619,75.6,26.51,8.78,5.47,7.21,18.89,6.55,4.89,19.88,0.08,0.83,1.31
Stockholms län,0120,Värmdö,01200501,Ingarö 1 Lemshaga,1199,1208,1314,91.93,31.53,12.09,6.51,6.51,18.35,3.84,5.25,14.93,0.25,0.25,0.66
Stockholms län,0120,Värmdö,01200502,Ingarö 2 Säby Eknäs,1083,1090,1236,88.19,29.09,9.33,5.82,6.83,18.19,5.26,3.79,20.87,0.28,,0.55
Stockholms län,0120,Värmdö,01200503,Ingarö 3 Ingarö Strand,1166,1171,1279,91.56,37.48,10.38,7.98,6.95,13.81,3.6,3.26,15.52,0.17,0.43,0.34
Stockholms län,0120,Värmdö,01200504,Ingarö 4 Klacknäset,1142,1150,1324,86.86,28.02,7.79,7.09,6.74,18.13,6.13,5.43,18.65,0.44,0.18,0.61
Stockholms län,0120,Värmdö,01200601,Gustavsberg 1 Lugnet,1254,1265,1482,85.36,15.95,6.94,5.02,4.7,32.22,8.69,5.98,19.38,0.32,0.24,0.79
Stockholms län,0120,Värmdö,01200602,Gustavsberg 2 Hästhagen m.fl.,1174,1186,1429,83,18.48,7.58,5.96,4.43,29.56,9.45,7.33,14.57,0.94,0.34,0.93
Stockholms län,0120,Värmdö,01200603,Gustavsberg 3 Munkmora,1046,1057,1376,76.82,13.96,6.12,4.49,3.73,32.6,12.14,3.06,20.94,0.38,0.57,0.76
Stockholms län,0120,Värmdö,01200604,Gustavsberg 4 Höjdhagen m.fl.,905,914,991,92.23,18.23,11.49,5.3,4.42,30.06,7.51,10.83,10.39,1.33,0.11,0.98
Stockholms län,0120,Värmdö,01200605,Gustavsberg 5 Ösbydalen m.fl.,1023,1034,1183,87.4,21.7,6.74,6.16,5.57,28.25,8.41,5.87,16.03,0.59,,1.06
Stockholms län,0120,Värmdö,01200606,Gustavsberg 6 Ormingelandet,793,793,916,86.57,35.06,12.86,8.32,5.67,10.72,3.03,7.82,15.76,0.5,,
Stockholms län,0120,Värmdö,01200607,Gustavsberg 7 Porslinskvart. m.fl.,1990,2003,2261,88.59,25.18,12.16,6.23,5.63,22.06,9.2,8.34,9.8,0.3,0.35,0.5
Stockholms län,0120,Värmdö,01200608,Gustavsberg 8 Mörtnäs,1125,1129,1211,93.23,38.4,12.89,9.24,4.98,13.69,2.76,6.22,10.49,0.44,0.09,0.35
Stockholms län,0120,Värmdö,01200609,Gustavsberg 9 Mölnvik m.fl.,764,768,858,89.51,24.48,10.21,5.5,5.1,26.05,6.81,4.58,16.23,0.26,0.39,0.52
Stockholms län,0120,Värmdö,01200610,Gustavsberg 10 Charlottendal m.fl.,866,867,945,91.75,25.52,10.51,8.66,5.89,25.64,4.85,7.51,9.93,0.12,0.58,0.12
Stockholms län,0123,Järfälla,01230201,1 Norra Barkarby,1029,1036,1225,84.57,19.63,5.44,6.03,4.18,30.13,9.62,6.12,17.78,0.29,0.19,0.58
Stockholms län,0123,Järfälla,01230202,2 Södra Barkarby,1395,1401,1601,87.51,30.39,8.03,7.38,8.32,19.21,6.09,5.02,14.27,0.14,0.14,0.43
Stockholms län,0123,Järfälla,01230203,4 Skälby Gård Västra,1015,1020,1151,88.62,36.55,9.85,5.81,5.22,19.7,4.14,4.93,12.61,0.2,0.59,0.39
Stockholms län,0123,Järfälla,01230204,5 Orgona,1090,1096,1267,86.5,30.28,7.71,6.15,5.78,26.79,5.23,3.76,12.84,0.46,0.46,0.55
Stockholms län,0123,Järfälla,01230205,6 Neptuni,1367,1377,1617,85.16,30.5,7.39,6.88,6.58,25.38,4.46,3.66,14.56,0.22,0.07,0.58
Stockholms län,0123,Järfälla,01230206,3 Skälby Gård Östra,991,994,1122,88.59,35.52,7.47,8.38,6.86,14.03,4.64,4.94,16.65,0.2,0.3,0.2
Stockholms län,0123,Järfälla,01230207,37 Barkarbystaden,1242,1245,1503,82.83,25.44,9.34,7,5.56,23.83,11.11,5.31,10.87,0.48,0.08,0.24
Stockholms län,0123,Järfälla,01230208,38 Kalvshälla,1309,1315,1614,81.47,24.14,8.4,5.96,4.43,30.48,10.7,4.81,10.01,0.61,0.08,0.3
Stockholms län,0123,Järfälla,01230306,7 Fjällen,1158,1160,1327,87.42,27.55,8.03,6.74,5.79,24.44,5.35,4.66,15.8,0.78,0.26,0.17
Stockholms län,0123,Järfälla,01230307,8 Sandvik,1353,1355,1533,88.39,25.65,6.43,7.24,6.65,26.09,6.06,4.66,15.82,0.59,0.07,0.15
Stockholms län,0123,Järfälla,01230308,9 Hummelmora,1193,1196,1342,89.12,28.75,5.78,7.21,7.46,21.96,5.7,4.44,17.69,,0.34,0.25
Stockholms län,0123,Järfälla,01230309,10 Centrala Viksjö Södra,1436,1443,1657,87.09,27.51,4.87,6.89,7.24,28.62,5.15,2.99,15.74,0.14,0.35,0.49
Stockholms län,0123,Järfälla,01230310,11 Lund,1040,1045,1198,87.23,27.02,5.29,7.69,7.6,24.23,5.19,3.75,18.17,0.38,0.48,0.48
Stockholms län,0123,Järfälla,01230311,12 Fastebol,1322,1327,1448,91.64,31.09,8.17,9.38,7.94,21.63,3.63,4.31,13.16,0.08,0.08,0.38
Stockholms län,0123,Järfälla,01230312,13 Centrala Viksjö Norra,1276,1296,1606,80.7,20.06,4.78,3.45,5.33,32.68,7.29,4.15,19.75,0.71,0.63,1.39
Stockholms län,0123,Järfälla,01230313,14 Högby,1266,1272,1431,88.89,29.86,7.9,6.56,6.95,25.91,4.98,3.87,13.11,0.08,0.24,0.47
Stockholms län,0123,Järfälla,01230413,20 Tallbohov,561,569,846,67.26,6.95,1.78,3.92,4.63,43.49,20.5,4.28,13.01,0.53,0.36,0.88
Stockholms län,0123,Järfälla,01230414,15 Olovslund,1330,1335,1522,87.71,31.8,8.42,9.92,9.47,17.67,4.14,3.91,13.53,0.08,0.3,0.37
Stockholms län,0123,Järfälla,01230415,16 Vibblaby,1185,1204,1510,79.74,21.27,5.99,4.89,6.92,29.96,10.21,4.47,15.02,0.17,0.25,1.16
Stockholms län,0123,Järfälla,01230416,17 Västerby,966,974,1204,80.9,22.77,6.11,6.21,4.97,29.3,8.8,4.55,15.73,0.31,0.41,0.82
Stockholms län,0123,Järfälla,01230417,18 Grönvreten,958,962,1076,89.41,28.39,9.5,9.39,7.41,19.21,5.53,6.37,13.15,0.1,0.42,0.42
Stockholms län,0123,Järfälla,01230418,21 Snapphanen,636,637,980,65,11.01,2.83,2.83,4.25,41.04,23.27,2.36,10.06,0.79,0.31,0.16
Stockholms län,0123,Järfälla,01230419,19 Nyberg,1061,1067,1617,65.99,11.4,3.96,3.58,4.34,42.7,15.55,3.86,13.38,0.28,0.19,0.37
Stockholms län,0123,Järfälla,01230420,22 Hammaren,1172,1185,1573,75.33,14.42,4.18,4.1,6.06,34.47,13.74,3.24,18,0.6,0.34,0.68
Stockholms län,0123,Järfälla,01230421,23 Dackevägen,794,800,1127,70.98,14.48,5.67,3.27,5.16,36.52,14.23,3.27,15.74,0.5,0.25,0.63
Stockholms län,0123,Järfälla,01230422,24 Centrala Jakobsberg,748,754,1075,70.14,15.24,5.08,4.01,6.28,34.36,15.78,3.34,14.57,0.53,0.27,0.4
Stockholms län,0123,Järfälla,01230423,25 Södra Aspnäs,1267,1276,1695,75.28,12.08,2.45,2.76,3.31,41.52,14.68,2.84,18.23,0.32,0.32,0.63
Stockholms län,0123,Järfälla,01230424,26 Ekedal,1104,1114,1524,73.1,15.4,5.34,3.8,8.79,35.05,13.32,3.53,12.32,0.72,0.09,0.54
Stockholms län,0123,Järfälla,01230425,27 Norra Aspnäs,574,578,692,83.53,19.51,4.53,3.31,6.62,30.49,14.98,3.48,14.81,0.35,0.52,0.69
Stockholms län,0123,Järfälla,01230426,28 Vattmyra,1253,1259,1409,89.35,26.18,7.74,7.58,7.18,24.18,8.86,5.19,11.89,0.32,0.24,0.4
Stockholms län,0123,Järfälla,01230427,29 Berghem/Polhem,1619,1629,1874,86.93,30.08,6.73,5.81,8.71,21.62,7.6,3.83,14.08,0.31,0.49,0.55
Stockholms län,0123,Järfälla,01230528,31 Lädersättra,1326,1338,1578,84.79,19,3.62,5.28,4.83,33.94,9.05,4.83,18.02,0.23,0.53,0.75
Stockholms län,0123,Järfälla,01230529,32 Centrala Kallhäll,1168,1179,1428,82.56,20.03,6.34,6.16,5.14,25.43,8.9,8.05,17.72,0.09,0.94,0.93
Stockholms län,0123,Järfälla,01230530,33 Emaljvägen/Kopparvägen,1229,1242,1555,79.87,16.52,4.31,4.88,4.96,33.69,11.55,4.56,17.41,0.33,0.65,0.72
Stockholms län,0123,Järfälla,01230531,34 Ulvsättra/Skogstorp,1376,1384,1807,76.59,16.72,4.72,4.58,3.92,35.68,12.35,5.67,15.63,0.29,0.15,0.58
Stockholms län,0123,Järfälla,01230532,35 Kolarängen/Villastaden,1203,1214,1455,83.44,23.61,5.15,6.32,6.48,26.68,8.15,4.32,17.71,0.25,0.42,0.74
Stockholms län,0123,Järfälla,01230533,36 Stäket,1546,1550,1784,86.88,30.72,7.57,7.37,6.34,18.24,4.4,5.11,18.95,0.32,0.52,0.26
Stockholms län,0123,Järfälla,01230534,30 Bolinder strand,1137,1144,1257,91.01,29.29,6.77,6.68,9.67,21.64,4.13,7.12,13.46,0.35,0.35,0.52
Stockholms län,0125,Ekerö,01250101,Munsö,595,602,703,85.63,26.72,13.11,4.37,6.05,14.79,4.54,3.87,25.88,0.67,,1
Stockholms län,0125,Ekerö,01250201,Adelsö,543,553,639,86.54,20.81,9.94,3.87,9.58,18.78,6.63,3.68,25.05,0.74,0.55,1.08
Stockholms län,0125,Ekerö,01250301,Ekerö 1 Ekerö C Gällstaö,1458,1463,1656,88.35,27.71,11.73,10.08,6.58,18.24,4.53,4.94,14.47,0.27,0.62,0.34
Stockholms län,0125,Ekerö,01250302,Ekerö 2 Ekebyhov,1109,1117,1290,86.59,22,8.75,7.3,7.66,23.26,6.76,6.49,15.87,0.36,0.63,0.72
Stockholms län,0125,Ekerö,01250303,Ekerö 3 Träkvista Ö,1367,1381,1509,91.52,28.38,9.58,8.27,8.41,19.82,4.24,6.44,13.97,0.37,0.22,0.94
Stockholms län,0125,Ekerö,01250304,Ekerö 4 Träkvista S,1811,1817,1973,92.09,35.06,13.97,10.6,8.39,14.63,1.71,5.3,9.77,0.06,0.11,0.33
Stockholms län,0125,Ekerö,01250305,Ekerö 5 Tappström,1430,1440,1610,89.44,31.89,10.14,9.58,8.32,16.85,3.64,5.1,13.15,0.49,0.35,0.63
Stockholms län,0125,Ekerö,01250306,Ekerö 6 Träkvista V,1245,1249,1374,90.9,31.73,12.37,7.71,9.32,14.54,3.61,6.1,13.49,0.08,0.4,0.32
Stockholms län,0125,Ekerö,01250307,Ekerö 7 Sundby Helgö,1311,1323,1495,88.49,32.49,12.2,5.64,7.78,13.58,4.35,6.41,16.63,0.15,,0.76
Stockholms län,0125,Ekerö,01250401,Lovö,647,652,762,85.56,23.8,12.36,9.12,7.26,16.23,6.8,8.81,14.06,0.15,0.62,0.61
Stockholms län,0125,Ekerö,01250901,Färingsö 1 Färingsö N,985,997,1113,89.58,23.35,12.28,5.58,8.22,16.45,6.6,4.06,22.13,0.41,0.2,0.8
Stockholms län,0125,Ekerö,01250902,Färingsö 2 Färentuna Hilleshög,884,895,1026,87.23,23.42,10.75,5.66,7.24,19.68,6.56,5.66,19.8,0.45,0.23,0.89
Stockholms län,0125,Ekerö,01250903,Färingsö 3 Svartsjö Sånga,1363,1371,1535,89.32,27.88,9.9,6.38,6.6,17.75,5.72,6.09,17.9,0.44,0.37,0.58
Stockholms län,0125,Ekerö,01250904,Färingsö 4 Stenhamra,1421,1425,1636,87.1,26.32,9.5,6.83,8.37,18.86,4.36,5,19.21,0.14,0.63,0.28
Stockholms län,0125,Ekerö,01250905,Färingsö 5 Skå,1028,1036,1151,90.01,27.04,11.38,7.1,8.46,16.15,5.64,5.64,16.63,0.78,0.29,0.77
Stockholms län,0126,Huddinge,01260101,Skogsäng,1513,1520,1696,89.62,26.37,10.58,9.85,4.63,19.37,5.42,9.52,12.62,0.2,0.66,0.39
Stockholms län,0126,Huddinge,01260102,Milsten,729,733,809,90.61,27.98,12.35,9.33,6.58,22.22,3.84,5.62,10.56,0.69,0.41,0.55
Stockholms län,0126,Huddinge,01260103,Fridhem,1244,1251,1392,89.87,28.54,8.44,8.76,6.19,20.5,5.55,6.43,14.23,0.64,0.4,0.48
Stockholms län,0126,Huddinge,01260104,Källbrink,1542,1549,1681,92.15,28.99,10.64,9.79,5.32,18.94,3.7,6.42,14.79,0.26,0.39,0.45
Stockholms län,0126,Huddinge,01260105,Vistaberg,1299,1300,1422,91.42,31.18,10.93,8.7,6.31,19.78,6.31,6.85,8.39,0.54,0.31,0.08
Stockholms län,0126,Huddinge,01260106,Stuvsta centrum,904,911,1037,87.85,25.77,10.62,7.63,4.98,23.89,5.53,6.31,13.5,0.77,0.11,0.77
Stockholms län,0126,Huddinge,01260107,Myrängen-Högmora,1153,1163,1279,90.93,29.31,8.5,7.03,6.33,19.43,6.16,5.64,16.22,0.61,0.26,0.77
Stockholms län,0126,Huddinge,01260108,Stuvsta gård,965,972,1089,89.26,28.39,9.22,8.19,5.7,20.73,6.53,4.87,15.23,0.52,0.21,0.62
Stockholms län,0126,Huddinge,01260109,Kynäs,1401,1409,1567,89.92,30.91,7.92,5.64,5.92,19.77,3.93,6.21,18.27,0.29,0.57,0.57
Stockholms län,0126,Huddinge,01260110,Kvarnbergsplan,894,898,1084,82.84,24.16,6.94,5.48,5.82,25.84,8.61,3.69,16.89,0.56,1.01,0.33
Stockholms län,0126,Huddinge,01260111,Tomtberga,1022,1024,1288,79.5,20.55,4.5,4.5,4.11,29.84,9.2,6.36,18.59,0.49,0.78,0.2
Stockholms län,0126,Huddinge,01260112,Huddinge centrum,1291,1300,1715,75.8,15.8,4.73,3.72,4.03,32.84,12.7,6.2,17.27,0.7,0.93,0.54
Stockholms län,0126,Huddinge,01260113,Hörningsnäs,1612,1622,1799,90.16,25.25,9.31,7.75,5.96,24.32,6.76,6.27,13.77,0.06,0.25,0.49
Stockholms län,0126,Huddinge,01260114,Paradisbacken,1365,1380,1684,81.95,22.64,6.37,4.03,6.3,26.89,9.67,3.96,17,0.66,0.44,0.94
Stockholms län,0126,Huddinge,01260115,Solgård,1418,1424,1654,86.09,28.42,10.3,6.35,6.28,21.51,5.71,5.5,14.67,0.28,0.21,0.42
Stockholms län,0126,Huddinge,01260116,Sörskogen,783,790,899,87.88,26.82,8.05,7.41,8.05,22.09,4.85,5.75,14.94,0.51,0.64,0.76
